#Conjunto de datos Exportar - TEMPERATURA.TAMN2_MN_D@26055120;
Sello de tiempo (UTC-05:00);Valor (°C)
2006-11-23 07:00:00;18,5
2006-11-24 07:00:00;19,399999999999977
2006-11-25 07:00:00;19,5
2006-11-26 07:00:00;20,100000000000023
2006-11-27 07:00:00;19,600000000000023
2006-11-28 07:00:00;20,399999999999977
2006-11-29 07:00:00;20,30000000000001
2006-11-30 07:00:00;19,600000000000023
2006-12-01 07:00:00;19,399999999999977
2006-12-02 07:00:00;20,69999999999999
2006-12-03 07:00:00;19,80000000000001
2006-12-04 07:00:00;19
2006-12-05 07:00:00;20,19999999999999
2006-12-06 07:00:00;20,5
2006-12-06 07:00:01;NaN
2006-12-09 06:59:59;NaN
2006-12-09 07:00:00;19,5
2006-12-10 07:00:00;18,69999999999999
2006-12-11 07:00:00;19,5
2006-12-12 07:00:00;18,30000000000001
2006-12-13 07:00:00;19,5
2006-12-14 07:00:00;19
2006-12-15 07:00:00;20,19999999999999
2006-12-16 07:00:00;20,100000000000023
2006-12-16 07:00:01;NaN
2006-12-19 06:59:59;NaN
2006-12-19 07:00:00;19,69999999999999
2006-12-20 07:00:00;19,19999999999999
2006-12-21 07:00:00;18,80000000000001
2006-12-22 07:00:00;18,5
2006-12-23 07:00:00;19,30000000000001
2006-12-24 07:00:00;19,600000000000023
2006-12-25 07:00:00;19
2006-12-26 07:00:00;19,899999999999977
2006-12-27 07:00:00;19,5
2006-12-28 07:00:00;20
2006-12-29 07:00:00;18,69999999999999
2006-12-30 07:00:00;19,30000000000001
2006-12-31 07:00:00;18,80000000000001
2007-01-01 07:00:00;20,5
2007-01-02 07:00:00;19,600000000000023
2007-01-03 07:00:00;20,100000000000023
2007-01-04 07:00:00;20,100000000000023
2007-01-05 07:00:00;19
2007-01-06 07:00:00;19,69999999999999
2007-01-07 07:00:00;21
2007-01-08 07:00:00;20,30000000000001
2007-01-09 07:00:00;20,399999999999977
2007-01-10 07:00:00;20,69999999999999
2007-01-11 07:00:00;19,5
2007-01-12 07:00:00;20
2007-01-13 07:00:00;22,600000000000023
2007-01-14 07:00:00;20,399999999999977
2007-01-15 07:00:00;20,30000000000001
2007-01-16 07:00:00;21,100000000000023
2007-01-17 07:00:00;21,19999999999999
2007-01-18 07:00:00;20,399999999999977
2007-01-19 07:00:00;20,30000000000001
2007-01-20 07:00:00;20,100000000000023
2007-01-21 07:00:00;20
2007-01-22 07:00:00;19,600000000000023
2007-01-23 07:00:00;19,69999999999999
2007-01-24 07:00:00;21,30000000000001
2007-01-25 07:00:00;20,69999999999999
2007-01-26 07:00:00;19,600000000000023
2007-01-27 07:00:00;20,69999999999999
2007-01-28 07:00:00;19,600000000000023
2007-01-29 07:00:00;19,899999999999977
2007-01-30 07:00:00;19,399999999999977
2007-01-31 07:00:00;19,5
2007-02-01 07:00:00;19,30000000000001
2007-02-02 07:00:00;21,600000000000023
2007-02-03 07:00:00;19,399999999999977
2007-02-04 07:00:00;17,80000000000001
2007-02-05 07:00:00;19,899999999999977
2007-02-06 07:00:00;17,600000000000023
2007-02-07 07:00:00;17,100000000000023
2007-02-08 07:00:00;16,899999999999977
2007-02-09 07:00:00;20,899999999999977
2007-02-10 07:00:00;20,100000000000023
2007-02-11 07:00:00;20
2007-02-12 07:00:00;20
2007-02-13 07:00:00;21,899999999999977
2007-02-14 07:00:00;21,30000000000001
2007-02-15 07:00:00;19
